,Date,Open,High,Low,Close,Adj Close,Volume,Percentage,Daily Returns %,Moving AGV 7 Day,Moving AGV 30 Day,Year
1844,2017-10-24,67.760002,68.559998,67.232002,67.468002,67.468002,22458500,-0.4327977579653264,0.0949543067912062,69.63628614285714,70.97139966666667,2017
1845,2017-10-25,67.339996,67.5,64.711998,65.167999,65.167999,42970500,-3.3329195822016953,-3.409027882580551,68.928857,70.7021329,2017
1846,2017-10-26,65.556,66.045998,64.639999,65.234001,65.234001,25117500,-0.49360608741443135,0.10127977076603845,68.083714,70.3589996,2017
1847,2017-10-27,63.950001,64.917999,63.332001,64.174004,64.174004,34898500,0.3490556705796263,-1.6249148967576121,66.97571457142858,69.96606646666666,2017
1848,2017-10-30,63.835999,64.755997,63.450001,64.015999,64.015999,21272000,0.2811797094660549,-0.246213404418405,66.069143,69.53326643333334,2017
1849,2017-10-31,64.045998,66.389999,64.036003,66.306,66.306,28361500,3.4084426748710523,3.5772323103166803,65.68142914285714,69.24279986666667,2017
1850,2017-11-01,66.449997,66.522003,64.052002,64.216003,64.216003,42286500,-3.4788742612958883,-3.152048080113412,65.22600114285714,68.89060003333333,2017
1851,2017-11-02,60.026001,61.737999,58.526001,59.852001,59.852001,98957000,-0.29071709732812356,-6.7958169243264805,64.138001,68.44246679999999,2017
1852,2017-11-03,59.900002,61.25,59.026001,61.217999,61.217999,44470000,2.1529566819065717,2.2822929512415158,63.57371528571428,68.1424667,2017
1853,2017-11-06,61.400002,61.5,59.801998,60.556,60.556,32430000,-1.3937545412510788,-1.0813796772416562,62.90542942857143,67.86106666666666,2017
1854,2017-11-07,60.203999,61.299999,60.006001,61.209999,61.209999,26471500,1.6435223271282853,1.0799904220886614,62.48200014285714,67.5997332,2017
1855,2017-11-08,61.099998,61.377998,60.259998,60.877998,60.877998,23626500,-0.36466376571713366,-0.5423966760724874,62.03371428571428,67.35586646666667,2017
1856,2017-11-09,60.5,60.891998,59.259998,60.598,60.598,27235500,0.1617215089606901,-0.4599329958255183,61.21828571428572,67.11179986666667,2017
1857,2017-11-10,60.5,61.672001,60.369999,60.598,60.598,23127000,0.1617215089606901,0.0,60.70142814285715,66.85773316666668,2017
1858,2017-11-13,60.026001,63.360001,59.821999,63.080002,63.080002,37924500,4.841472579534794,4.095848047790351,61.16257114285714,66.68353323333334,2017
1859,2017-11-14,63.0,63.27,61.380001,61.740002,61.740002,28380500,-2.0408130210297095,-2.1242865528127375,61.237143,66.42060003333333,2017
1860,2017-11-15,61.202,62.498001,60.299999,62.259998,62.259998,29893500,1.699322251825329,0.8422351525029237,61.480571285714284,66.1292,2017
1861,2017-11-16,62.798,63.627998,62.259998,62.5,62.5,29110500,-0.4768000000000029,0.3854834688558739,61.664857142857144,65.84366659999999,2017
1862,2017-11-17,65.134003,65.334,62.630001,63.009998,63.009998,68675500,-3.3709015512109746,0.8159967999999962,61.96942857142857,65.5647999,2017
1863,2017-11-20,62.757999,63.099998,60.950001,61.748001,61.748001,41238500,-1.6356772424098327,-2.002851991837873,62.13371442857142,65.33680003333333,2017
1864,2017-11-21,62.172001,63.646,61.742001,63.562,63.562,36306500,2.186839621157289,2.937745304499817,62.557142999999996,65.08493349999999,2017
1865,2017-11-22,63.354,63.484001,62.368,62.52,62.52,24588000,-1.333973128598842,-1.6393442622950727,62.47714271428572,64.80493356666666,2017
1866,2017-11-24,62.757999,63.282001,62.200001,63.110001,63.110001,16220500,0.5577594587583652,0.9436996161228395,62.672856857142854,64.53740020000001,2017
1867,2017-11-27,62.650002,63.467999,61.902,63.362,63.362,22779500,1.1236987468829918,0.3993012137648355,62.830285714285715,64.27900026666667,2017
1868,2017-11-28,63.271999,64.0,62.784,63.509998,63.509998,24747500,0.3747425720277964,0.23357532906158607,62.974571142857144,64.05866676666668,2017
1869,2017-11-29,63.459999,63.599998,60.245998,61.507999,61.507999,43837000,-3.1735709692002914,-3.1522580114079157,62.75999985714286,63.73726666666666,2017
1870,2017-11-30,61.712002,62.139999,60.908001,61.77,61.77,21758000,0.0938934757973205,0.42596248335116105,62.76314257142858,63.398599999999995,2017
1871,2017-12-01,61.088001,62.063999,61.009998,61.306,61.306,21464500,0.35559162235343844,-0.7511737089201942,62.44085685714286,63.09673333333333,2017
1872,2017-12-04,61.299999,61.653999,60.122002,61.040001,61.040001,29175500,-0.4259469130742693,-0.4338873845953106,62.22942842857143,62.830733466666665,2017
1873,2017-12-05,60.400002,61.599998,60.200001,60.740002,60.740002,23232500,0.5597629055066483,-0.4914793497464043,61.89085714285714,62.60860023333334,2017
1874,2017-12-06,60.02,62.678001,60.0,62.652,62.652,35976500,4.200983208836107,3.147839870008573,61.78942857142857,62.448066833333336,2017
1875,2017-12-07,62.400002,63.726002,62.209999,62.248001,62.248001,23903000,-0.2441861546686431,-0.6448301730192174,61.60914328571429,62.35073356666667,2017
1876,2017-12-08,62.919998,63.396,62.251999,63.026001,63.026001,17342500,0.16818931602530388,1.2498393321899615,61.82600071428572,62.27713356666666,2017
1877,2017-12-11,62.925999,65.802002,62.75,65.781998,65.781998,39690000,4.341611819087654,4.372793698270661,62.39914328571428,62.330733366666664,2017
1878,2017-12-12,66.089996,68.288002,66.005997,68.206001,68.206001,43666000,3.102373645978748,3.6849032770333245,63.384857714285715,62.4704001,2017
1879,2017-12-13,68.185997,68.844002,67.300003,67.806,67.806,31107500,-0.5604179571129443,-0.5864601268735892,64.351429,62.520400099999996,2017
1880,2017-12-14,68.202003,69.487999,67.379997,67.578003,67.578003,28999500,-0.923377389533114,-0.33624900451287854,65.32828628571428,62.63246676666667,2017
1881,2017-12-15,68.407997,68.779999,67.152,68.690002,68.690002,34666000,0.41054737485669635,1.6455043810631897,66.190858,62.927066800000006,2017
1882,2017-12-18,68.980003,69.346001,67.515999,67.774002,67.774002,27381000,-1.779444867369645,-1.3335274033039246,66.98028671428571,63.14560023333333,2017
1883,2017-12-19,68.052002,68.297997,66.059998,66.220001,66.220001,34125000,-2.76653725813143,-2.292916094876618,67.43657242857142,63.33440026666666,2017
1884,2017-12-20,66.538002,66.620003,65.008003,65.795998,65.795998,29769000,-1.1277342430462238,-0.6402944632996843,67.43857242857142,63.4872669,2017
1885,2017-12-21,65.917999,66.748001,65.442001,66.332001,66.332001,21926000,0.6241361541317149,0.8146437721029853,67.17085814285714,63.669067,2017
1886,2017-12-22,65.902,66.183998,64.963997,65.040001,65.040001,21079000,-1.325336695489899,-1.9477778154167291,66.77571542857143,63.8171337,2017
1887,2017-12-26,64.765999,64.788002,63.316002,63.458,63.458,21892000,-2.0612042610860652,-2.4323508236108515,66.18714357142856,63.912467033333336,2017
1888,2017-12-27,63.200001,63.535999,62.150002,62.327999,62.327999,23560500,-1.3990534173895137,-1.7807069242648632,65.278286,63.88740026666667,2017
1889,2017-12-28,62.349998,63.164001,61.908001,63.071999,63.071999,21581500,1.144725094252996,1.1936850403299504,64.60657128571428,63.93180016666667,2017
1890,2017-12-29,63.236,63.282001,62.0,62.27,62.27,18886000,-1.5513088164445061,-1.2715610932198196,64.04228542857143,63.93213356666667,2017
1891,2018-01-02,62.400002,64.421997,62.200001,64.106003,64.106003,21761000,2.661218794127596,2.9484551148225346,63.80085757142857,63.98566700000001,2018
1892,2018-01-03,64.199997,65.050003,63.110001,63.450001,63.450001,22607500,-1.182026774120927,-1.0233082227884327,63.38914328571429,64.00033376666667,2018
1893,2018-01-04,62.574001,63.709999,61.136002,62.924,62.924,49731500,0.5562249698048389,-0.8290007749566453,63.08685742857143,64.03953373333333,2018
1894,2018-01-05,63.324001,63.448002,62.400002,63.316002,63.316002,22956000,-0.012633457178811126,0.6229769245438943,63.066572,64.0313338,2018
1895,2018-01-08,63.200001,67.403999,63.099998,67.281998,67.281998,49297000,6.066997296958989,6.263813056294998,63.77428614285714,64.19006706666667,2018
1896,2018-01-09,67.031998,67.760002,65.480003,66.737999,66.737999,35733000,-0.44052714256536135,-0.8085357393815773,64.29800042857143,64.31100033333334,2018
1897,2018-01-10,66.440002,67.400002,66.0,66.959999,66.959999,21549500,0.7765785659584454,0.3326440758285143,64.96800028571428,64.43093363333334,2018
1898,2018-01-11,67.047997,68.961998,66.652,67.589996,67.589996,33227500,0.8018923392154131,0.9408557488180369,65.46571357142857,64.56693356666666,2018
1899,2018-01-12,67.725998,68.082001,66.734001,67.244003,67.244003,24125500,-0.7167851087032961,-0.5118997195975417,66.00771385714286,64.7581337,2018
1900,2018-01-16,67.508003,69.0,66.959999,68.012001,68.012001,32371500,0.7410427462647301,1.142106307978108,66.73457114285715,64.9662004,2018
1901,2018-01-17,68.094002,69.800003,67.949997,69.431999,69.431999,35517500,1.927061037087527,2.0878638756710144,67.608285,65.23706703333333,2018
1902,2018-01-18,69.134003,70.459999,68.748001,68.914001,68.914001,28429000,-0.3192413686734108,-0.7460508230506258,67.84142828571429,65.4995337,2018
1903,2018-01-19,69.0,70.117996,68.519997,70.003998,70.003998,24441500,1.4342009437803762,1.5816771398891705,68.30799957142857,65.80833356666666,2018
